Author,givenname,givenname_reco,instance of,Count
"Chalk, Alex",Alex,Alex,unisex given name,2
"Hester, Alexis",Alexis,Alexis,male given name,1
"Truong, Alexis H.",Alexis,Alexis,male given name,1
"Mazalek, Ali",Ali,,male given name,1
"Burnett, Allen F.",Allen,Allen,male given name,1
"Drachen, Anders",Anders,Anders,male given name,1
"Tychsen, Anders",Anders,Anders,male given name,1
"Falck, Andreas",Andreas,,male given name,1
"Borecky, Andrew",Andrew,,male given name,1
"Garcia, Antero",Antero,,male given name,3
"Bean, Anthony",Anthony,Anthony,male given name,1
"Ortega, Anthony",Anthony,Anthony,male given name,1
"Dauphragne, Antoine",Antoine,Antoine,male given name,1
"Ruiz-Ezquerro, Antonio",Antonio,Antonio,male given name,1
"Simón, Armando",Armando,Armando,male given name,2
"Ortolani, Arthur Nogueira",Arthur,Arthur,male given name,1
"Drigas, Athanasios",Athanasios,Athanasios,male given name,2
"Mironer, Basil",Basil,Basil,male given name,1
"Bisogno, Ben",Ben,,male given name,1
"Liu, Ben S.C.",Ben,,male given name,1
"Carpenter, Benjamin J. J.",Benjamin,Benjamin,male given name,1
"Doolittle, Benjamin R.",Benjamin,Benjamin,male given name,1
"Durheim, Benjamin",Benjamin,Benjamin,male given name,1
"Lechner, Benjamin",Benjamin,Benjamin,male given name,1
"Robertson, Benjamin J.",Benjamin,Benjamin,male given name,1
"Demil, Benoît",Benoît,Benoît,male given name,3
"Tyler, Benton",Benton,,male given name,1
"Buyukozturk, Bertan",Bertan,,male given name,1
"Seys, Bertrand",Bertrand,Bertrand,male given name,1
"Burenheide, Brad",Brad,,male given name,1
"Lewis, Bradford H.",Bradford,Bradford,male given name,1
"Phillips, Brian David",Brian,Brian,male given name,2
"Hutchison, Brian",Brian,Brian,male given name,1
"McKenzie, Brian",Brian,Brian,male given name,1
"Boyden, Bruce E.",Bruce,Bruce,male given name,1
"Brown, Bryan",Bryan,Bryan,male given name,1
"Chiniara, Carl",Carl,Carl,male given name,1
"Sell, Carl B.",Carl,Carl,male given name,1
"Palmqvist, Carl-Johan",Carl-Johan,,male given name,1
"Hernandez, Carlos",Carlos,Carlos,male given name,1
"Klimick, Carlos",Carlos,Carlos,male given name,1
"Mehrstam, Christian",Christian,,male given name,1
"Ferguson, Christopher J.",Christopher,Christopher,male given name,1
"Paul, Christopher",Christopher,Christopher,male given name,1
"Seaman, Christopher",Christopher,Christopher,male given name,1
"Waluyo, Christrijogo Sumartono",Christrijogo,Christrijogo,male given name,1
"Thorén, Claes",Claes,Claes,male given name,1
"Garcia, Claude A.",Claude,,unisex given name,1
"Salvado, Claudio",Claudio,Claudio,male given name,1
"Calvert, Clay",Clay,modeling clay,male given name,1
"Wehrle, Cole",Cole,Cole,male given name,1
"Carbonell, Curtis D.",Curtis,Curtis,male given name,1
"Peeples, Dale",Dale,,male given name,1
"Hunter, Dan",Dan,,male given name,1
"Lawrence, Dan",Dan,,male given name,1
"Miller, Dan J.",Dan,,male given name,1
"Sich, Dan",Dan,,male given name,1
"Anderson, Daniel J.",Daniel,Daniel,male given name,1
"Arenas, Daniel Luccas",Daniel,Daniel,male given name,1
"Carlson, Daniel",Daniel,Daniel,male given name,1
"Cohens, Daniel Gonzalez",Daniel,Daniel,male given name,1
"Dayan, Daniel",Daniel,Daniel,male given name,1
"Goldman, Daniel",Daniel,Daniel,male given name,1
"Punday, Daniel",Daniel,Daniel,male given name,1
"Romero Benguigui, Daniel",Daniel,Daniel,male given name,1
"Serrano Robles, Daniel",Daniel,Daniel,male given name,1
"Weissglass, Daniel E.",Daniel,Daniel,male given name,1
"Guimarães, Danilo Silva",Danilo,Danilo,male given name,2
"Crouse, Darren",Darren,Darren,male given name,1
"Coe, Darrin",Darrin,Darrin,male given name,1
"Coe, Darrin F.",Darrin,Darrin,male given name,1
"Allen, David",David,Dávid,male given name,1
"Happe, David",David,Dávid,male given name,1
"Jara, David",David,Dávid,male given name,1
"Lester, David",David,Dávid,male given name,1
"Myers, David",David,Dávid,male given name,1
"Novitz, David",David,Dávid,male given name,1
"Peyron, David",David,Dávid,male given name,1
"Sweeten, David",David,Dávid,male given name,1
"Waldron, David",David,Dávid,male given name,1
"Orazi, Davide C",Davide,Davide,male given name,1
"Waskul, Dennis",Dennis,Dennis,male given name,1
"Krisna, Dimas",Dimas,Dimas,male given name,1
"Williams, Dmitri",Dmitri,Dmitry,male given name,1
"Babichenko, Dmitriy",Dmitriy,Dmitry,male given name,1
"Folse, Earl J.",Earl,,male given name,1
"Bowes, Edward",Edward,Edward,male given name,1
"Schneider, Edward",Edward,Edward,male given name,1
"O’Rear, Elijah",Elijah,Elijah,male given name,1
"Riegel, Emilio",Emilio,Emilio,male given name,1
"Uribe-Jongbloed, Enrique",Enrique,Enrique,male given name,1
"Lis, Eric",Eric,,male given name,2
"Anderman, Eric",Eric,,male given name,1
"Torner, Evan",Evan,Evan,male given name,8
"Quevedo da Rocha, Fabian",Fabian,Fabian,male given name,1
"García-Soriano, Felipe",Felipe,Felipe,male given name,1
"Spyropoulos, Fotios",Fotios,Fotios,male given name,1
"Causo, Francesco",Francesco,Francesco,male given name,1
"Crawford, Garry",Garry,,male given name,1
"Fine, Gary Alan",Gary,Gary,male given name,5
"Gibbs, Gary G.",Gary,Gary,male given name,1
"Rosenthal, Gary T.",Gary,Gary,male given name,1
"Whipple, Gary J.",Gary,Gary,male given name,1
"Winardy, Gary Collins Brata",Gary,Gary,male given name,1
"Claussen, Geoffrey D.",Geoffrey,Geoffrey,male given name,1
"Reininghaus, Gerrit",Gerrit,Gerrit,male given name,1
"Femia, Giuseppe",Giuseppe,Giuseppe,male given name,2
"Aldred, B Grantham",Grantham,Grantham,male given name,1
"Gillespie, Greg",Greg,Greg,male given name,2
"Loring-Albright, Greg",Greg,Greg,male given name,1
"Lastowka, F. Gregory",Gregory,Gregory,male given name,1
"Pogorzelski, Grégory",Grégory,Gregory,male given name,1
"Mon Morgan, Griffith III",Griffith,Griffith,male given name,1
"Descamps, Guillaume",Guillaume,Guillaume,male given name,1
"Gibbins, Harry",Harry,Harry,male given name,1
"Pareja, Héctor Sevillano",Héctor,Hector,male given name,1
"Sevillano-Pareja, Héctor",Héctor,Hector,male given name,1
"Hasibuan, Hendry Ignatius",Hendry,Hendry,male given name,1
"Korkeila, Henry",Henry,Henry,male given name,1
"Fujino, Hiroshi",Hiroshi,Hiroshi,male given name,1
"Sturrock, Ian",Ian,Ían,male given name,2
"Baker, Ian S.",Ian,Ían,male given name,1
"Hunter, Ian Frederick Vigogne Goodbody",Ian,Ían,male given name,1
"Turner, Ian J.",Ian,Ían,male given name,1
"Wickramasekera II, Ian E.",Ian,Ían,male given name,1
"Trichakis, Ioannis",Ioannis,Ioannis,male given name,1
"Stenros, Jaakko",Jaakko,Jaakko,male given name,1
"Berkenstock, Jack",Jack,jack,male given name,1
"Reed, Jacob",Jacob,,male given name,1
"Banks, Jaime",Jaime,Jaime,male given name,1
"Chudy, Jakub",Jakub,Jakub,male given name,1
"Carroll, James L.",James,James,male given name,1
"Forest, James",James,James,male given name,1
"Mendez, James D.",James,James,male given name,1
"Richardson, James T.",James,James,male given name,1
"Kilmer, Jared",Jared,,male given name,1
"Cox, Jason Matthew",Jason,,male given name,1
"Giardino, Jason",Jason,,male given name,1
"Morningstar, Jason",Jason,,male given name,1
"Pittman, Jason",Jason,,male given name,1
"Wyld, Jasper",Jasper,,male given name,1
"Pernin, Jean-Philippe",Jean-Philippe,Jean-Philippe,male given name,1
"Nicholas, Jeffery",Jeffery,Jeffery,male given name,1
"MacCormack, Jeffrey W. H.",Jeffrey,Jeffrey,male given name,1
"Kociatkiewicz, Jerzy",Jerzy,Jerzy,male given name,1
"Lasley, Joe",Joe,Joe,male given name,2
"Wasserman, Joe A.",Joe,Joe,male given name,1
"Hewig, Johannes",Johannes,Johannes,male given name,1
"Raher, Johannes",Johannes,Johannes,male given name,1
"Rodrigues, Johannes",Johannes,Johannes,male given name,1
"Quijano Cruz, Johansen",Johansen,Johansen,male given name,2
"Miller, John",John,John,male given name,1
"Garthoff, Jon",Jon,Jón,male given name,1
"Dormans, Joris",Joris,Joris,male given name,1
"Goldfond, Josh",Josh,Josh,male given name,1
"Miller, Josh Aaron",Josh,Josh,male given name,1
"Goldfond, Joshua",Joshua,Joshua,male given name,1
"García, Juan Ramón Carbó",Juan,Juan,male given name,2
"Díaz-de-la-Torre, Juan-Manuel",Juan-Manuel,Juan Manuel,male given name,1
"Roberts, Jude",Jude,,unisex given name,1
"Kovalčík, Juraj",Juraj,Juraj,male given name,1
"Bergström, Karl",Karl,Karl,male given name,1
"Fujibayashi, Keiichirō",Keiichirō,Keiichirō,male given name,1
"Campbell, W. Keith",Keith,,male given name,1
"Katō, Kōhei",Kōhei,Kōhei,male given name,2
"Ntokos, Konstantinos",Konstantinos,Konstantinos,male given name,1
"Bjørkelo, Kristian",Kristian,Kristian,male given name,1
"Lancaster, Kurt",Kurt,Kurt,male given name,2
"Johnson, Lars",Lars,LARS,male given name,1
"Konzack, Lars",Lars,LARS,male given name,1
"Trémel, Laurent",Laurent,Laurent,male given name,3
"Di Filippo, Laurent",Laurent,Laurent,male given name,2
"Chongong, Leonel V.",Leonel,Leonel,male given name,1
"Bryant, Levi R.",Levi,Levi,male given name,1
"Cross, Liam",Liam,Liam,male given name,1
"Breland, Luke",Luke,Luke,male given name,1
"Pye, Luke",Luke,Luke,male given name,1
"Karwowski, Maciej",Maciej,Maciej,male given name,1
"Magnusson, Magnus Kuwahara",Magnus,Magnus,male given name,1
"Schodorf, Marc",Marc,marc,male given name,1
"Soszynski, Marcin",Marcin,Marcin,male given name,1
"Cunha, Marco André",Marco,Marco,male given name,1
"Cabobianco, Marcos",Marcos,Marcos,male given name,1
"Carter, Marcus",Marcus,Marcus,male given name,2
"Golonka, Marek",Marek,Marek,male given name,1
"Grande-de-Prado, Mario",Mario,Mario,male given name,1
"Prado, Mario Grande De",Mario,Mario,male given name,1
"Hines, Mark",Mark,grade,male given name,2
"Montola, Markus",Markus,Márkus,male given name,1
"Kuška, Martin",Martin,Martin,male given name,1
"Van-Houtte, Martín",Martín,Martin,male given name,1
"Aoyama, Masahiko",Masahiko,Masahiko,male given name,1
"Miyazaki, Masayuki",Masayuki,Masayuki,male given name,1
"Horrigan, Matt",Matt,,male given name,2
"King, Matt",Matt,,male given name,1
"Lust, Matt",Matt,,male given name,1
"Abbott, Matthew S.",Matthew,Matthew,male given name,1
"Chrulew, Matthew",Matthew,Matthew,male given name,1
"Gremo, Matthew",Matthew,Matthew,male given name,1
"Orr, Matthew",Matthew,Matthew,male given name,1
"Varrette, Matthew",Matthew,Matthew,male given name,1
"Jiménez, Mauricio Rangel",Mauricio,Mauricio,male given name,1
"Barth, Meir Y.",Meir,Meir,male given name,1
"Brandt, Melvin",Melvin,Melvin,male given name,1
"Ben-Ezra, Menachem",Menachem,Menachem,male given name,1
"Hitchens, Michael",Michael,Michael,male given name,2
"Cheng, Michael",Michael,Michael,male given name,1
"Freudenthal, Michael",Michael,Michael,male given name,1
"Giordano, Michael J.",Michael,Michael,male given name,1
"Glassman, Michael",Michael,Michael,male given name,1
"Lee, Michael Sangyeob",Michael,Michael,male given name,1
"Scanlon, Michael",Michael,Michael,male given name,1
"Stokes, Michael",Michael,Michael,male given name,1
"Underwood, Michael Robert",Michael,Michael,male given name,1
"Magnani, Miguel Angel Bastarrachea",Miguel,Miguel,male given name,2
"Cook, Mike P.",Mike,,male given name,1
"Boysen, Mikkel Snorre Wilms",Mikkel,Mikkel,male given name,1
"Zaheen, Muhammad",Muhammad,,male given name,1
"Fathoni, Mukhamad",Mukhamad,Mukhamad,male given name,1
"Bueno, Murilo Gabriel Berardo",Murilo,Murilo,male given name,1
"Shank, Nathan",Nathan,Nathan,male given name,1
"Noda, Nathaniel T.",Nathaniel,Nathaniel,male given name,1
"Robles-Bastida, Nazario",Nazario,Nazario,male given name,1
"Douse, Neil A.",Neil,Neil,male given name,1
"Mizer, Nicholas J.",Nicholas,Nicholas,male given name,3
"Eggers, Nicholas",Nicholas,Nicholas,male given name,2
"Bowman, Nicholas David",Nicholas,Nicholas,male given name,1
"Cragoe, Nicholas G.",Nicholas,Nicholas,male given name,1
"St. Jacques, Nicholas",Nicholas,Nicholas,male given name,1
"Bestor, Nick",Nick,nick,male given name,1
"Webber, Nick",Nick,nick,male given name,1
"LaLone, Nicolas",Nicolas,Nicolas,male given name,2
"Nova, Nicolas",Nicolas,Nicolas,male given name,2
"Carrillo Santarelli, Nicolas",Nicolas,Nicolas,male given name,1
"Nylund, Niklas",Niklas,Niklas,male given name,1
"Bardis, Nikolaos",Nikolaos,Nikolaos,male given name,2
"Silber, Norman I.",Norman,Norman,male given name,1
"Soshenskyi, Oleksandr",Oleksandr,Oleksandr,male given name,1
"Caïra, Olivier",Olivier,Olivier,male given name,4
"Berti, Paolo",Paolo,Paolo,male given name,1
"Schmoll, Patrick",Patrick,Patrick,male given name,1
"Waeber, Patrick O.",Patrick,Patrick,male given name,1
"Mason, Paul",Paul,Paul,male given name,2
"Cardwell Jr., Paul",Paul,Paul,male given name,1
"Cardwell, Paul Jr",Paul,Paul,male given name,1
"Carolin, Paul M.",Paul,Paul,male given name,1
"Scriven, Paul",Paul,Paul,male given name,1
"Weigle, Paul",Paul,Paul,male given name,1
"Ramos-Villagrasa, Pedro José",Pedro,Pedro,male given name,1
"Clynes, Peter",Peter,Peter,male given name,1
"Kennedy, Peter Drew",Peter,Peter,male given name,1
"Kuling, Peter",Peter,Peter,male given name,1
"Rogers, Peter",Peter,Peter,male given name,1
"Stromberg, Peter G.",Peter,Peter,male given name,1
"Wonica, Peter",Peter,Peter,male given name,1
"Woods, Peter J.",Peter,Peter,male given name,1
"Bruno, Pierre",Pierre,Pierre,male given name,1
"Gander, Pierre",Pierre,Pierre,male given name,1
"Dorożyński, Przemysław",Przemysław,Przemysław,male given name,1
"Richtr, Radek",Radek,Radek,male given name,1
"Trnka, Radek",Radek,Radek,male given name,1
"Jaques, Rafael Ramires",Rafael,Rafael,male given name,1
"Lopes, Rafael Santos",Rafael,Rafael,male given name,1
"Jørnø, Rasmus Leth",Rasmus,Rasmus,male given name,1
"Keller, Reiner",Reiner,Reiner,male given name,1
"da Silva Francisco, Ricardo Jeferson",Ricardo,Ricardo,male given name,1
"Moreno Rodriguez, Ricardo",Ricardo,Ricardo,male given name,1
"Victoria-Uribe, Ricardo",Ricardo,Ricardo,male given name,1
"Montoro, Richard",Richard,Richard,male given name,1
"Prager, Richard Heinz Patrick",Richard,Richard,male given name,1
"Biskin, Robert",Robert,Robert,male given name,1
"Carter, Robert",Robert,Robert,male given name,1
"Greenspoon, Robert",Robert,Robert,male given name,1
"Lowe, Robert",Robert,Robert,male given name,1
"Moore, Robert J.",Robert,Robert,male given name,1
"Sullivan, Robert S.",Robert,Robert,male given name,1
"Baelo, Roberto",Roberto,Roberto,male given name,1
"Sorolla, Roger",Roger,Roger,male given name,1
"Sorolla, Roger SG",Roger,Roger,male given name,1
"Kapitany, Rohan",Rohan,Rohan,male given name,1
"Pascal, Roman",Roman,,male given name,2
"Abramson, Ronald",Ronald,Ronald,male given name,1
"Cruz, Ronald Allan L.",Ronald,Ronald,male given name,1
"Pekala, Ronald J.",Ronald,Ronald,male given name,1
"Hernández-Mendo, Rubén-Dario",Rubén-Dario,Rubén Darío,male given name,1
"Tobin, Samuel",Samuel,Samuel,male given name,1
"Segoni, Samuele",Samuele,Samuele,male given name,1
"Storm, Scott",Scott,Scott,male given name,2
"Beattie, Scott",Scott,Scott,male given name,1
"Dyson, Scott Benjamin",Scott,Scott,male given name,1
"Orth, Scott",Scott,Scott,male given name,1
"Whittier, Scott",Scott,Scott,male given name,1
"Lickteig, Seth J.",Seth,Seth,male given name,1
